,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket),Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
643,33,male,married/widowed,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,24,electronic equipment,1851000,4,car or other,0,1,2,critical/pending loans at other banks,Low Risk
644,32,male,married/widowed,1,own,1,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,0,18,electronic equipment,1880000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
645,27,male,single,1,rent,4,skilled employee / official,0 year,1 year,1,Low,0,0,36,business,7980000,4,car or other,0,0,2,delay in paying off loans in the past,High Risk
646,32,male,divorced/separated,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,30,FF&E,4583000,2,real estate,0,1,2,no loans taken/all loans paid back duly,Low Risk
647,26,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,1,High,0,0,12,new vehicle,1386000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
648,38,male,single,2,for free,3,skilled employee / official,4 years,7 years,1,Low,2 lac,0,24,new vehicle,947000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
649,40,male,single,2,rent,4,unskilled - resident,1 year,4 years,1,Low,0,0,12,education,684000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
650,50,male,single,1,for free,1,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,0,48,education,7476000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
651,37,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Low,0,2 lac,12,FF&E,1922000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
652,45,male,single,1,own,1,skilled employee / official,7 years,4 years,1,Low,0,0,24,new vehicle,2303000,4,real estate,1,0,1,existing loans paid back duly till now,High Risk
653,42,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Medium,0,2 lac,36,new vehicle,8086000,2,car or other,0,0,4,delay in paying off loans in the past,High Risk
654,35,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,24,used vehicle,2346000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
655,22,male,single,1,for free,4,skilled employee / official,1 year,0 year,1,Low,0,0,14,new vehicle,3973000,1,car or other,0,0,1,existing loans paid back duly till now,Low Risk
656,41,male,single,2,own,4,unskilled - resident,7 years,4 years,1,Low,0,2 lac,12,new vehicle,888000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
657,37,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,0,0,48,electronic equipment,10222000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
658,28,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,2 lac,30,business,4221000,2,car or other,0,0,2,no loans taken/all loans paid back duly,Low Risk
659,41,male,single,1,own,1,skilled employee / official,7 years,4 years,1,Low,0,2 lac,18,FF&E,6361000,2,car or other,0,0,1,critical/pending loans at other banks,Low Risk
660,23,male,married/widowed,1,rent,4,skilled employee / official,1 year,4 years,1,Low,2 lac,0,12,electronic equipment,1297000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
661,23,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,12,new vehicle,900000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
662,50,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,0,0,21,FF&E,2241000,4,real estate,0,0,2,existing loans paid back duly till now,Low Risk
663,35,male,single,1,own,1,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,2 lac,6,FF&E,1050000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
664,50,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,4 years,1,Low,2 lac,0,6,education,1047000,2,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
665,27,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,0,0,24,electronic equipment,6314000,4,car or other,1,0,2,critical/pending loans at other banks,Low Risk
666,34,male,single,2,own,2,skilled employee / official,1 year,4 years,1,Very high,0,2 lac,30,FF&E,3496000,4,car or other,0,0,1,all loans at this bank paid back duly,Low Risk
667,27,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,1,Low,0,0,48,business,3609000,1,real estate,0,0,1,all loans at this bank paid back duly,Low Risk
668,43,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,0,0,12,new vehicle,4843000,3,building society savings agreement/life insurance,1,0,2,critical/pending loans at other banks,High Risk
669,47,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,2 lac,0,30,electronic equipment,3017000,4,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
670,27,male,single,1,own,3,unskilled - resident,1 year,4 years,1,Medium,0,0,24,business,4139000,3,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
671,31,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Medium,0,0,36,business,5742000,2,car or other,0,0,2,existing loans paid back duly till now,Low Risk
672,42,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,60,new vehicle,10366000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
673,24,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,High,0,0,6,new vehicle,2080000,1,car or other,0,0,1,critical/pending loans at other banks,Low Risk
674,41,male,single,2,own,2,unskilled - resident,0 year,1 year,1,High,0,0,21,business,2580000,4,real estate,0,0,1,delay in paying off loans in the past,High Risk
675,26,female,divorced/separated/married,1,rent,4,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,0,30,electronic equipment,4530000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
676,33,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,0,24,FF&E,5150000,4,car or other,0,0,1,critical/pending loans at other banks,Low Risk
677,24,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,1,Medium,0,2 lac,72,electronic equipment,5595000,2,car or other,0,0,1,existing loans paid back duly till now,High Risk
678,64,male,single,1,rent,4,unskilled - resident,7 years,4 years,1,Low,0,0,24,electronic equipment,2384000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
679,26,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,1,Low,0,0,18,electronic equipment,1453000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
680,56,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,1,Low,0,0,6,education,1538000,1,car or other,0,0,1,existing loans paid back duly till now,Low Risk
681,37,male,single,1,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,12,electronic equipment,2279000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
682,33,male,married/widowed,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,15,electronic equipment,1478000,4,real estate,0,0,2,delay in paying off loans in the past,Low Risk
683,47,male,married/widowed,1,for free,3,skilled employee / official,0 year,1 year,1,Low,0,0,24,electronic equipment,5103000,3,car or other,0,0,3,critical/pending loans at other banks,Low Risk
684,31,male,single,2,own,3,unskilled - resident,4 years,7 years,1,Medium,0,2 lac,36,business,9857000,1,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
685,34,male,single,2,for free,4,skilled employee / official,1 year,4 years,1,Low,0,0,60,new vehicle,6527000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
686,27,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,2 lac,0,10,electronic equipment,1347000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
687,30,male,single,1,for free,3,skilled employee / official,7 years,4 years,1,Medium,0,2 lac,36,new vehicle,2862000,4,car or other,0,0,1,delay in paying off loans in the past,Low Risk
688,35,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Medium,0,0,9,electronic equipment,2753000,3,car or other,1,0,1,existing loans paid back duly till now,Low Risk
689,31,male,single,2,own,3,skilled employee / official,1 year,4 years,1,Very high,0,0,12,new vehicle,3651000,1,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
690,25,male,divorced/separated,1,own,3,skilled employee / official,1 year,4 years,1,Low,0,0,15,FF&E,975000,2,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
691,25,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,4 years,1,Medium,0,2 lac,15,repair costs,2631000,3,real estate,0,0,1,existing loans paid back duly till now,Low Risk
692,29,male,single,1,own,1,skilled employee / official,0 year,1 year,1,Medium,0,2 lac,24,electronic equipment,2896000,2,car or other,0,0,1,existing loans paid back duly till now,Low Risk
693,44,male,single,2,own,3,unskilled - resident,0 year,1 year,1,Low,0,0,6,new vehicle,4716000,1,real estate,0,0,2,critical/pending loans at other banks,Low Risk
694,28,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,0,0,24,electronic equipment,2284000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
695,50,male,single,1,rent,4,skilled employee / official,1 year,4 years,1,High,0,0,6,used vehicle,1236000,2,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
696,29,male,single,1,own,3,skilled employee / official,4 years,7 years,0,Low,0,2 lac,12,electronic equipment,1103000,4,real estate,0,1,2,existing loans paid back duly till now,Low Risk
697,38,female,divorced/separated/married,1,own,2,unemployed / unskilled - non-resident,1 year,0 year,1,Low,0,0,12,new vehicle,926000,1,building society savings agreement/life insurance,0,0,1,critical/pending loans at other banks,Low Risk
698,24,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,0,0,18,electronic equipment,1800000,4,car or other,0,0,2,critical/pending loans at other banks,Low Risk
699,40,male,single,1,rent,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,2 lac,0,15,education,1905000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
700,29,female,divorced/separated/married,1,rent,4,unskilled - resident,1 year,4 years,1,High,0,0,12,FF&E,1123000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
701,46,male,single,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,48,used vehicle,6331000,4,car or other,0,0,2,critical/pending loans at other banks,High Risk
702,47,female,divorced/separated/married,1,for free,2,skilled employee / official,7 years,4 years,1,Medium,2 lac,0,24,electronic equipment,1377000,4,car or other,0,0,1,existing loans paid back duly till now,Low Risk
703,41,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Medium,0,2 lac,30,business,2503000,4,building society savings agreement/life insurance,0,0,2,delay in paying off loans in the past,Low Risk
704,32,female,divorced/separated/married,2,own,1,skilled employee / official,0 year,1 year,1,Low,0,2 lac,27,business,2528000,4,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,Low Risk
705,35,female,divorced/separated/married,1,for free,4,skilled employee / official,7 years,4 years,1,High,0,0,15,new vehicle,5324000,1,car or other,0,0,1,existing loans paid back duly till now,Low Risk
706,24,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Medium,0,2 lac,48,new vehicle,6560000,3,building society savings agreement/life insurance,0,0,1,existing loans paid back duly till now,High Risk
707,25,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1 year,1,Low,0,2 lac,12,FF&E,2969000,4,building society savings agreement/life insurance,0,0,2,no loans taken/all loans paid back duly,High Risk
708,25,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,4 years,1,Low,0,2 lac,9,electronic equipment,1206000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
709,37,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,0,2 lac,9,electronic equipment,2118000,2,real estate,0,0,1,existing loans paid back duly till now,Low Risk
710,32,male,single,1,own,3,management / self-employed / highly qualified employee / officer,7 years,4 years,1,High,0,0,18,electronic equipment,629000,4,building society savings agreement/life insurance,0,0,2,critical/pending loans at other banks,Low Risk
711,35,female,divorced/separated/married,1,for free,4,skilled employee / official,7 years,4 years,1,Low,0,0,6,education,1198000,4,car or other,0,0,1,all loans at this bank paid back duly,High Risk
712,46,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,0,0,21,used vehicle,2476000,4,real estate,0,0,1,existing loans paid back duly till now,Low Risk
713,25,male,single,1,own,4,unskilled - resident,1 year,4 years,1,Low,0,0,9,electronic equipment,1138000,4,real estate,0,0,2,critical/pending loans at other banks,Low Risk
714,27,male,single,1,own,2,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,0,2 lac,60,new vehicle,14027000,4,car or other,0,0,1,existing loans paid back duly till now,High Risk
